Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,92227,149.0,82.7,0,IMPERIAL
2013,92230,19.0,97.5,0,RIVERSIDE
2013,92231,77.0,26.2,0,IMPERIAL
2013,92233,15.0,26.2,0,IMPERIAL
2013,92234,96.0,24.2,0,RIVERSIDE
2013,92236,100.0,39.8,0,RIVERSIDE
2013,92240,107.0,41.7,0,RIVERSIDE
2013,92241,16.0,18.6,0,RIVERSIDE
2013,92243,222.0,62.0,0,IMPERIAL
2013,92250,18.0,28.5,0,IMPERIAL
2013,92251,48.0,26.5,0,IMPERIAL
2013,92252,48.0,70.8,0,SAN BERNARDINO
2013,92253,52.0,19.4,0,RIVERSIDE
2013,92254,23.0,34.9,0,RIVERSIDE
2013,92257,12.0,96.6,0,IMPERIAL
2013,92260,52.0,22.1,0,RIVERSIDE
2013,92262,93.0,49.0,0,RIVERSIDE
2013,92264,47.0,41.6,0,RIVERSIDE
2013,92270,23.0,13.2,0,RIVERSIDE
2013,92274,43.0,26.3,0,RIVERSIDE
2013,92276,17.0,25.5,0,RIVERSIDE
2013,92277,54.0,33.2,0,SAN BERNARDINO
2013,92284,70.0,38.8,0,SAN BERNARDINO
2013,92301,176.0,81.9,0,SAN BERNARDINO
2013,92307,226.0,78.9,0,SAN BERNARDINO
2013,92308,170.0,56.6,0,SAN BERNARDINO
2013,92311,250.0,108.6,0,SAN BERNARDINO
2013,92313,16.0,17.0,0,SAN BERNARDINO
2013,92314,28.0,34.0,0,SAN BERNARDINO
2013,92315,26.0,97.8,0,SAN BERNARDINO
2013,92316,100.0,44.2,0,SAN BERNARDINO
2013,92317,18.0,89.7,0,SAN BERNARDINO
2013,92320,20.0,29.6,0,RIVERSIDE
2013,92324,211.0,52.5,0,SAN BERNARDINO
2013,92325,35.0,120.6,0,SAN BERNARDINO
2013,92335,363.0,57.9,0,SAN BERNARDINO
2013,92336,173.0,26.5,0,SAN BERNARDINO
2013,92337,95.0,38.4,0,SAN BERNARDINO
2013,92342,32.0,73.0,0,SAN BERNARDINO
2013,92344,37.0,27.5,0,SAN BERNARDINO
2013,92345,331.0,57.3,0,SAN BERNARDINO
2013,92346,125.0,28.8,0,SAN BERNARDINO
2013,92352,16.0,70.8,0,SAN BERNARDINO
2013,92354,53.0,28.8,0,SAN BERNARDINO
2013,92356,27.0,55.9,0,SAN BERNARDINO
2013,92359,29.0,44.4,0,SAN BERNARDINO
2013,92363,73.0,187.4,0,SAN BERNARDINO
2013,92371,74.0,61.7,0,SAN BERNARDINO
2013,92373,65.0,27.7,0,SAN BERNARDINO
2013,92374,102.0,32.7,0,SAN BERNARDINO
2013,92376,329.0,59.1,0,SAN BERNARDINO
2013,92377,77.0,46.5,0,SAN BERNARDINO
2013,92392,245.0,63.7,0,SAN BERNARDINO
2013,92394,157.0,64.5,0,SAN BERNARDINO
2013,92395,252.0,83.5,0,SAN BERNARDINO
2013,92397,13.0,53.0,0,SAN BERNARDINO
2013,92399,122.0,31.2,0,SAN BERNARDINO
2013,92404,429.0,94.1,0,SAN BERNARDINO
2013,92405,189.0,94.8,0,SAN BERNARDINO
2013,92407,249.0,57.6,0,SAN BERNARDINO
2013,92408,61.0,48.9,0,SAN BERNARDINO
2013,92410,351.0,105.9,0,SAN BERNARDINO
2013,92411,219.0,129.6,0,SAN BERNARDINO
2013,92501,115.0,71.5,0,RIVERSIDE
2013,92503,241.0,39.4,0,RIVERSIDE
2013,92504,174.0,41.3,0,RIVERSIDE
2013,92505,127.0,35.4,0,RIVERSIDE
2013,92506,99.0,31.7,0,RIVERSIDE
2013,92507,175.0,44.7,0,RIVERSIDE
2013,92508,56.0,22.9,0,RIVERSIDE
2013,92509,178.0,31.2,0,RIVERSIDE
2013,92530,137.0,37.2,0,RIVERSIDE
2013,92532,35.0,26.1,0,RIVERSIDE
2013,92539,14.0,33.7,0,RIVERSIDE
2013,92543,168.0,76.0,0,RIVERSIDE
2013,92544,141.0,38.8,0,RIVERSIDE
2013,92545,124.0,45.4,0,RIVERSIDE
2013,92548,29.0,55.4,0,RIVERSIDE
2013,92551,83.0,34.8,0,RIVERSIDE
2013,92553,282.0,54.0,0,RIVERSIDE
2013,92555,113.0,40.9,0,RIVERSIDE
2013,92557,102.0,27.2,0,RIVERSIDE
2013,92562,113.0,24.7,0,RIVERSIDE
2013,92563,96.0,22.1,0,RIVERSIDE
2013,92567,13.0,20.7,0,RIVERSIDE
2013,92570,160.0,42.6,0,RIVERSIDE
2013,92571,117.0,34.9,0,RIVERSIDE
2013,92582,36.0,32.2,0,RIVERSIDE
2013,92583,94.0,42.5,0,RIVERSIDE
2013,92584,95.0,31.3,0,RIVERSIDE
2013,92585,27.0,18.7,0,RIVERSIDE
2013,92586,73.0,52.7,0,RIVERSIDE
2013,92587,44.0,35.0,0,RIVERSIDE
2013,92591,68.0,24.0,0,RIVERSIDE
2013,92592,108.0,19.5,0,RIVERSIDE
2013,92595,64.0,27.3,0,RIVERSIDE
2013,92596,26.0,19.6,0,RIVERSIDE
2013,92602,24.0,17.2,0,ORANGE
2013,92603,14.0,8.7,0,ORANGE
2013,92604,45.0,19.4,0,ORANGE
2013,92606,23.0,17.1,0,ORANGE
2013,92610,17.0,24.0,0,ORANGE
2013,92612,33.0,13.6,0,ORANGE
2013,92614,17.0,10.1,0,ORANGE
2013,92618,33.0,26.0,0,ORANGE
2013,92620,43.0,13.8,0,ORANGE
2013,92624,17.0,29.3,0,ORANGE
2013,92625,28.0,25.1,0,ORANGE
2013,92626,109.0,26.7,0,ORANGE
2013,92627,150.0,31.9,0,ORANGE
2013,92629,39.0,20.4,0,ORANGE
2013,92630,110.0,24.8,0,ORANGE
2013,92637,46.0,20.7,0,ORANGE
2013,92646,84.0,18.4,0,ORANGE
2013,92647,124.0,28.8,0,ORANGE
2013,92648,98.0,26.5,0,ORANGE
2013,92649,48.0,17.1,0,ORANGE
2013,92651,36.0,18.4,0,ORANGE
2013,92653,51.0,20.6,0,ORANGE
2013,92655,23.0,44.1,0,ORANGE
2013,92656,50.0,16.6,0,ORANGE
2013,92660,58.0,20.1,0,ORANGE
2013,92663,37.0,19.0,0,ORANGE
2013,92672,58.0,18.3,0,ORANGE
2013,92673,33.0,14.4,0,ORANGE
2013,92675,55.0,18.4,0,ORANGE
2013,92677,88.0,17.8,0,ORANGE
2013,92679,35.0,18.3,0,ORANGE
2013,92683,236.0,33.1,0,ORANGE
2013,92688,47.0,17.6,0,ORANGE
2013,92691,64.0,17.3,0,ORANGE
2013,92692,58.0,14.7,0,ORANGE
2013,92694,16.0,14.5,0,ORANGE
2013,92701,142.0,41.4,0,ORANGE
2013,92703,128.0,28.8,0,ORANGE
2013,92704,157.0,27.0,0,ORANGE
2013,92705,59.0,17.9,0,ORANGE
2013,92706,62.0,24.7,0,ORANGE
2013,92707,134.0,33.8,0,ORANGE
2013,92708,81.0,17.9,0,ORANGE
2013,92780,111.0,25.4,0,ORANGE
2013,92782,25.0,12.7,0,ORANGE
2013,92801,221.0,52.4,0,ORANGE
2013,92802,114.0,36.6,0,ORANGE
2013,92804,236.0,37.6,0,ORANGE
2013,92805,156.0,31.5,0,ORANGE
2013,92806,143.0,48.1,0,ORANGE
2013,92807,56.0,19.9,0,ORANGE
2013,92808,22.0,15.6,0,ORANGE
2013,92821,64.0,23.2,0,ORANGE
2013,92831,99.0,36.9,0,ORANGE
2013,92832,79.0,41.9,0,ORANGE
2013,92833,136.0,34.7,0,ORANGE
2013,92835,30.0,16.7,0,ORANGE
2013,92840,115.0,28.0,0,ORANGE
2013,92841,94.0,36.8,0,ORANGE
2013,92843,117.0,36.5,0,ORANGE
2013,92844,45.0,25.5,0,ORANGE
2013,92845,14.0,11.0,0,ORANGE
2013,92860,66.0,30.0,0,RIVERSIDE
2013,92865,38.0,24.1,0,ORANGE
2013,92866,48.0,41.2,0,ORANGE
2013,92867,49.0,14.0,0,ORANGE
2013,92868,45.0,24.7,0,ORANGE
2013,92869,51.0,17.6,0,ORANGE
2013,92870,104.0,26.4,0,ORANGE
2013,92879,122.0,36.5,0,RIVERSIDE
2013,92880,88.0,21.6,0,RIVERSIDE
2013,92881,43.0,17.1,0,RIVERSIDE
2013,92882,134.0,28.0,0,RIVERSIDE
2013,92883,44.0,20.8,0,RIVERSIDE
2013,92886,94.0,22.8,0,ORANGE
2013,92887,17.0,10.4,0,ORANGE
2013,93001,79.0,32.2,0,VENTURA
2013,93003,85.0,21.9,0,VENTURA
2013,93004,46.0,19.4,0,VENTURA
2013,93010,86.0,24.8,0,VENTURA
2013,93012,54.0,18.6,0,VENTURA
2013,93013,21.0,17.9,0,SANTA BARBARA
2013,93015,38.0,28.1,0,VENTURA
2013,93021,52.0,22.2,0,VENTURA
2013,93022,17.0,38.6,0,VENTURA
2013,93023,71.0,46.2,0,VENTURA
2013,93030,272.0,69.9,0,VENTURA
2013,93033,148.0,27.4,0,VENTURA
2013,93035,41.0,18.9,0,VENTURA
2013,93036,81.0,26.8,0,VENTURA
2013,93041,57.0,32.1,0,VENTURA
2013,93060,88.0,36.0,0,VENTURA
2013,93063,96.0,23.2,0,VENTURA
2013,93065,130.0,24.8,0,VENTURA
2013,93101,98.0,41.8,0,SANTA BARBARA
2013,93103,43.0,29.6,0,SANTA BARBARA
2013,93105,36.0,15.8,0,SANTA BARBARA
2013,93110,28.0,23.2,0,SANTA BARBARA
2013,93111,31.0,20.3,0,SANTA BARBARA
2013,93117,56.0,13.4,0,SANTA BARBARA
2013,93202,29.0,158.6,0,KINGS
2013,93203,37.0,28.6,0,KERN
2013,93204,24.0,25.5,0,KINGS
2013,93210,37.0,24.3,0,FRESNO
2013,93212,85.0,47.7,0,KINGS
2013,93215,113.0,31.8,0,KERN
2013,93219,29.0,46.9,0,TULARE
2013,93221,19.0,19.0,0,TULARE
